"train/epoch","20250524-191100-clumsy-tern-70 - _step","20250524-191100-clumsy-tern-70 - _step__MIN","20250524-191100-clumsy-tern-70 - _step__MAX","20250524-191100-clumsy-tern-70 - eval/prefs/confident_correct","20250524-191100-clumsy-tern-70 - eval/prefs/confident_correct__MIN","20250524-191100-clumsy-tern-70 - eval/prefs/confident_correct__MAX","20250524-191100-clumsy-tern-70 - eval/prefs/ambiguous","20250524-191100-clumsy-tern-70 - eval/prefs/ambiguous__MIN","20250524-191100-clumsy-tern-70 - eval/prefs/ambiguous__MAX","20250524-191100-clumsy-tern-70 - eval/prefs/confident_incorrect","20250524-191100-clumsy-tern-70 - eval/prefs/confident_incorrect__MIN","20250524-191100-clumsy-tern-70 - eval/prefs/confident_incorrect__MAX","20250522-143316-indecisive-worm-398 - _step","20250522-143316-indecisive-worm-398 - _step__MIN","20250522-143316-indecisive-worm-398 - _step__MAX","20250522-143316-indecisive-worm-398 - eval/prefs/confident_correct","20250522-143316-indecisive-worm-398 - eval/prefs/confident_correct__MIN","20250522-143316-indecisive-worm-398 - eval/prefs/confident_correct__MAX","20250522-143316-indecisive-worm-398 - eval/prefs/ambiguous","20250522-143316-indecisive-worm-398 - eval/prefs/ambiguous__MIN","20250522-143316-indecisive-worm-398 - eval/prefs/ambiguous__MAX","20250522-143316-indecisive-worm-398 - eval/prefs/confident_incorrect","20250522-143316-indecisive-worm-398 - eval/prefs/confident_incorrect__MIN","20250522-143316-indecisive-worm-398 - eval/prefs/confident_incorrect__MAX","20250522-093557-glamorous-mink-111 - _step","20250522-093557-glamorous-mink-111 - _step__MIN","20250522-093557-glamorous-mink-111 - _step__MAX","20250522-093557-glamorous-mink-111 - eval/prefs/confident_correct","20250522-093557-glamorous-mink-111 - eval/prefs/confident_correct__MIN","20250522-093557-glamorous-mink-111 - eval/prefs/confident_correct__MAX","20250522-093557-glamorous-mink-111 - eval/prefs/ambiguous","20250522-093557-glamorous-mink-111 - eval/prefs/ambiguous__MIN","20250522-093557-glamorous-mink-111 - eval/prefs/ambiguous__MAX","20250522-093557-glamorous-mink-111 - eval/prefs/confident_incorrect","20250522-093557-glamorous-mink-111 - eval/prefs/confident_incorrect__MIN","20250522-093557-glamorous-mink-111 - eval/prefs/confident_incorrect__MAX","20250520-205242-sincere-goose-909 - _step","20250520-205242-sincere-goose-909 - _step__MIN","20250520-205242-sincere-goose-909 - _step__MAX","20250520-205242-sincere-goose-909 - eval/prefs/confident_correct","20250520-205242-sincere-goose-909 - eval/prefs/confident_correct__MIN","20250520-205242-sincere-goose-909 - eval/prefs/confident_correct__MAX","20250520-205242-sincere-goose-909 - eval/prefs/ambiguous","20250520-205242-sincere-goose-909 - eval/prefs/ambiguous__MIN","20250520-205242-sincere-goose-909 - eval/prefs/ambiguous__MAX","20250520-205242-sincere-goose-909 - eval/prefs/confident_incorrect","20250520-205242-sincere-goose-909 - eval/prefs/confident_incorrect__MIN","20250520-205242-sincere-goose-909 - eval/prefs/confident_incorrect__MAX"
"0.6828012358393409","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","364","364","364","0.28515625","0.28515625","0.28515625","0.671875","0.671875","0.671875","0.04296875","0.04296875","0.04296875"
"0.7229660144181257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","386","386","386","0.296875","0.296875","0.296875","0.65234375","0.65234375","0.65234375","0.05078125","0.05078125","0.05078125"
"0.7631307929969104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407","407","407","0.26171875","0.26171875","0.26171875","0.6953125","0.6953125","0.6953125","0.04296875","0.04296875","0.04296875"
"0.8032955715756952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","429","429","429","0.30078125","0.30078125","0.30078125","0.65234375","0.65234375","0.65234375","0.046875","0.046875","0.046875"
"0.84346035015448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","450","450","0.265625","0.265625","0.265625","0.67578125","0.67578125","0.67578125","0.05859375","0.05859375","0.05859375"
"0.8836251287332647","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","472","472","472","0.25390625","0.25390625","0.25390625","0.6953125","0.6953125","0.6953125","0.05078125","0.05078125","0.05078125"
"0.9237899073120495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","493","493","493","0.2421875","0.2421875","0.2421875","0.67578125","0.67578125","0.67578125","0.08203125","0.08203125","0.08203125"
"0.9639546858908342","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","515","515","515","0.23828125","0.23828125","0.23828125","0.7109375","0.7109375","0.7109375","0.05078125","0.05078125","0.05078125"
"1.004119464469619","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","536","536","536","0.21484375","0.21484375","0.21484375","0.7265625","0.7265625","0.7265625","0.05859375","0.05859375","0.05859375"
"1.0442842430484036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","558","558","558","0.27734375","0.27734375","0.27734375","0.6875","0.6875","0.6875","0.03515625","0.03515625","0.03515625"
"1.0844490216271885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","579","579","579","0.28515625","0.28515625","0.28515625","0.6640625","0.6640625","0.6640625","0.05078125","0.05078125","0.05078125"
"1.1246138002059731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","601","601","601","0.328125","0.328125","0.328125","0.61328125","0.61328125","0.61328125","0.05859375","0.05859375","0.05859375"
"1.164778578784758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","622","622","622","0.25390625","0.25390625","0.25390625","0.67578125","0.67578125","0.67578125","0.0703125","0.0703125","0.0703125"
"1.2049433573635429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","644","644","644","0.30859375","0.30859375","0.30859375","0.62109375","0.62109375","0.62109375","0.0703125","0.0703125","0.0703125"
