"train/epoch","20250524-191100-clumsy-tern-70 - _step","20250524-191100-clumsy-tern-70 - _step__MIN","20250524-191100-clumsy-tern-70 - _step__MAX","20250524-191100-clumsy-tern-70 - eval/prefs/pred_mean","20250524-191100-clumsy-tern-70 - eval/prefs/pred_mean__MIN","20250524-191100-clumsy-tern-70 - eval/prefs/pred_mean__MAX","20250524-191100-clumsy-tern-70 - eval/prefs/lower_mean","20250524-191100-clumsy-tern-70 - eval/prefs/lower_mean__MIN","20250524-191100-clumsy-tern-70 - eval/prefs/lower_mean__MAX","20250524-191100-clumsy-tern-70 - eval/prefs/upper_mean","20250524-191100-clumsy-tern-70 - eval/prefs/upper_mean__MIN","20250524-191100-clumsy-tern-70 - eval/prefs/upper_mean__MAX","20250522-143316-indecisive-worm-398 - _step","20250522-143316-indecisive-worm-398 - _step__MIN","20250522-143316-indecisive-worm-398 - _step__MAX","20250522-143316-indecisive-worm-398 - eval/prefs/pred_mean","20250522-143316-indecisive-worm-398 - eval/prefs/pred_mean__MIN","20250522-143316-indecisive-worm-398 - eval/prefs/pred_mean__MAX","20250522-143316-indecisive-worm-398 - eval/prefs/lower_mean","20250522-143316-indecisive-worm-398 - eval/prefs/lower_mean__MIN","20250522-143316-indecisive-worm-398 - eval/prefs/lower_mean__MAX","20250522-143316-indecisive-worm-398 - eval/prefs/upper_mean","20250522-143316-indecisive-worm-398 - eval/prefs/upper_mean__MIN","20250522-143316-indecisive-worm-398 - eval/prefs/upper_mean__MAX","20250522-093557-glamorous-mink-111 - _step","20250522-093557-glamorous-mink-111 - _step__MIN","20250522-093557-glamorous-mink-111 - _step__MAX","20250522-093557-glamorous-mink-111 - eval/prefs/pred_mean","20250522-093557-glamorous-mink-111 - eval/prefs/pred_mean__MIN","20250522-093557-glamorous-mink-111 - eval/prefs/pred_mean__MAX","20250522-093557-glamorous-mink-111 - eval/prefs/lower_mean","20250522-093557-glamorous-mink-111 - eval/prefs/lower_mean__MIN","20250522-093557-glamorous-mink-111 - eval/prefs/lower_mean__MAX","20250522-093557-glamorous-mink-111 - eval/prefs/upper_mean","20250522-093557-glamorous-mink-111 - eval/prefs/upper_mean__MIN","20250522-093557-glamorous-mink-111 - eval/prefs/upper_mean__MAX","20250520-205242-sincere-goose-909 - _step","20250520-205242-sincere-goose-909 - _step__MIN","20250520-205242-sincere-goose-909 - _step__MAX","20250520-205242-sincere-goose-909 - eval/prefs/pred_mean","20250520-205242-sincere-goose-909 - eval/prefs/pred_mean__MIN","20250520-205242-sincere-goose-909 - eval/prefs/pred_mean__MAX","20250520-205242-sincere-goose-909 - eval/prefs/lower_mean","20250520-205242-sincere-goose-909 - eval/prefs/lower_mean__MIN","20250520-205242-sincere-goose-909 - eval/prefs/lower_mean__MAX","20250520-205242-sincere-goose-909 - eval/prefs/upper_mean","20250520-205242-sincere-goose-909 - eval/prefs/upper_mean__MIN","20250520-205242-sincere-goose-909 - eval/prefs/upper_mean__MAX"
"0.04016477857878476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","0.5092059969902039","0.5092059969902039","0.5092059969902039","0.1567387729883194","0.1567387729883194","0.1567387729883194","0.847822904586792","0.847822904586792","0.847822904586792"
"0.08032955715756952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","0.532063901424408","0.532063901424408","0.532063901424408","0.17494982481002808","0.17494982481002808","0.17494982481002808","0.8546972274780273","0.8546972274780273","0.8546972274780273"
"0.12049433573635428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","63","63","0.5548621416091919","0.5548621416091919","0.5548621416091919","0.19374524056911469","0.19374524056911469","0.19374524056911469","0.8559988141059875","0.8559988141059875","0.8559988141059875"
"0.16065911431513905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","85","85","0.5692476630210876","0.5692476630210876","0.5692476630210876","0.2041974663734436","0.2041974663734436","0.2041974663734436","0.8607712984085083","0.8607712984085083","0.8607712984085083"
"0.2008238928939238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","106","106","0.5803256034851074","0.5803256034851074","0.5803256034851074","0.21504706144332886","0.21504706144332886","0.21504706144332886","0.8637615442276001","0.8637615442276001","0.8637615442276001"
"0.24098867147270855","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128","128","128","0.6056004762649536","0.6056004762649536","0.6056004762649536","0.24668997526168823","0.24668997526168823","0.24668997526168823","0.8681136965751648","0.8681136965751648","0.8681136965751648"
"0.2811534500514933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149","149","149","0.6253865361213684","0.6253865361213684","0.6253865361213684","0.2643824517726898","0.2643824517726898","0.2643824517726898","0.8736391663551331","0.8736391663551331","0.8736391663551331"
"0.3213182286302781","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171","171","171","0.6053163409233093","0.6053163409233093","0.6053163409233093","0.25521814823150635","0.25521814823150635","0.25521814823150635","0.8668766021728516","0.8668766021728516","0.8668766021728516"
"0.36148300720906285","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","192","192","192","0.610651969909668","0.610651969909668","0.610651969909668","0.2591111660003662","0.2591111660003662","0.2591111660003662","0.8627772331237793","0.8627772331237793","0.8627772331237793"
"0.4016477857878476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","214","214","214","0.6296533346176147","0.6296533346176147","0.6296533346176147","0.27814361453056335","0.27814361453056335","0.27814361453056335","0.8685753345489502","0.8685753345489502","0.8685753345489502"
"0.44181256436663235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235","235","235","0.626460611820221","0.626460611820221","0.626460611820221","0.27680084109306335","0.27680084109306335","0.27680084109306335","0.8652153611183167","0.8652153611183167","0.8652153611183167"
"0.4819773429454171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257","257","257","0.6395089626312256","0.6395089626312256","0.6395089626312256","0.29191356897354126","0.29191356897354126","0.29191356897354126","0.8679436445236206","0.8679436445236206","0.8679436445236206"
"0.5221421215242018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","278","278","278","0.6467642784118652","0.6467642784118652","0.6467642784118652","0.303866982460022","0.303866982460022","0.303866982460022","0.8719333410263062","0.8719333410263062","0.8719333410263062"
"0.5623069001029866","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","300","300","0.6482839584350586","0.6482839584350586","0.6482839584350586","0.30994436144828796","0.30994436144828796","0.30994436144828796","0.8674539923667908","0.8674539923667908","0.8674539923667908"
"0.6024716786817713","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","321","321","321","0.6448968648910522","0.6448968648910522","0.6448968648910522","0.3082600235939026","0.3082600235939026","0.3082600235939026","0.866848886013031","0.866848886013031","0.866848886013031"
"0.6426364572605562","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","343","343","343","0.6649993062019348","0.6649993062019348","0.6649993062019348","0.3327755331993103","0.3327755331993103","0.3327755331993103","0.876726508140564","0.876726508140564","0.876726508140564"
"0.6828012358393409","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","364","364","364","0.6706922054290771","0.6706922054290771","0.6706922054290771","0.33614256978034973","0.33614256978034973","0.33614256978034973","0.8728836178779602","0.8728836178779602","0.8728836178779602"
"0.7229660144181257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","386","386","386","0.6715832352638245","0.6715832352638245","0.6715832352638245","0.34916749596595764","0.34916749596595764","0.34916749596595764","0.8715837001800537","0.8715837001800537","0.8715837001800537"
"0.7631307929969104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407","407","407","0.6532947421073914","0.6532947421073914","0.6532947421073914","0.32423996925354004","0.32423996925354004","0.32423996925354004","0.8665862679481506","0.8665862679481506","0.8665862679481506"
"0.8032955715756952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","429","429","429","0.6808825731277466","0.6808825731277466","0.6808825731277466","0.3600861728191376","0.3600861728191376","0.3600861728191376","0.8713528513908386","0.8713528513908386","0.8713528513908386"
"0.84346035015448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","450","450","0.6612597107887268","0.6612597107887268","0.6612597107887268","0.3351159393787384","0.3351159393787384","0.3351159393787384","0.8663196563720703","0.8663196563720703","0.8663196563720703"
"0.8836251287332647","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","472","472","472","0.6627213358879089","0.6627213358879089","0.6627213358879089","0.33531123399734497","0.33531123399734497","0.33531123399734497","0.864840030670166","0.864840030670166","0.864840030670166"
