"bin","count","id","name","p_pred","p_true"
"0","21","a7fpa0sx","confused-sweep-23","0.03900624048851785","0.09523809523809523"
"0.05","91","a7fpa0sx","confused-sweep-23","0.07717196778445454","0.17582417582417584"
"0.1","146","a7fpa0sx","confused-sweep-23","0.12411661241969017","0.2465753424657534"
"0.15000000000000002","224","a7fpa0sx","confused-sweep-23","0.17530657477410777","0.32589285714285715"
"0.2","268","a7fpa0sx","confused-sweep-23","0.22547145849510805","0.4253731343283582"
"0.25","282","a7fpa0sx","confused-sweep-23","0.27503447678494963","0.48936170212765956"
"0.30000000000000004","200","a7fpa0sx","confused-sweep-23","0.3254062815010548","0.54"
"0.35000000000000003","161","a7fpa0sx","confused-sweep-23","0.3747787947610298","0.6211180124223602"
"0.4","132","a7fpa0sx","confused-sweep-23","0.4232911781379671","0.6515151515151515"
"0.45","111","a7fpa0sx","confused-sweep-23","0.47467120032052734","0.6576576576576577"
"0.5","78","a7fpa0sx","confused-sweep-23","0.5222622270767505","0.7692307692307693"
"0.55","56","a7fpa0sx","confused-sweep-23","0.576494859797614","0.8571428571428571"
"0.6000000000000001","31","a7fpa0sx","confused-sweep-23","0.6193906261074927","0.8709677419354839"
"0.65","28","a7fpa0sx","confused-sweep-23","0.6693922451564244","0.8214285714285714"
"0.7000000000000001","12","a7fpa0sx","confused-sweep-23","0.7275891502698263","0.9166666666666666"
"0.75","9","a7fpa0sx","confused-sweep-23","0.7743382387691073","1"
"0.8","2","a7fpa0sx","confused-sweep-23","0.8159890174865723","1"
"0.8500000000000001","0","a7fpa0sx","confused-sweep-23","NaN","NaN"
"0.9","0","a7fpa0sx","confused-sweep-23","NaN","NaN"
"0.9500000000000001","0","a7fpa0sx","confused-sweep-23","NaN","NaN"
"0","4","28cjdkuj","polished-sweep-14","0.04216426610946655","0"
"0.05","43","28cjdkuj","polished-sweep-14","0.08121256686227266","0.13953488372093023"
"0.1","72","28cjdkuj","polished-sweep-14","0.12845067276308933","0.125"
"0.15000000000000002","131","28cjdkuj","polished-sweep-14","0.17634157313190343","0.26717557251908397"
"0.2","156","28cjdkuj","polished-sweep-14","0.22710090665481028","0.3269230769230769"
"0.25","198","28cjdkuj","polished-sweep-14","0.27491307725207975","0.3888888888888889"
"0.30000000000000004","247","28cjdkuj","polished-sweep-14","0.3265703968432268","0.46153846153846156"
"0.35000000000000003","245","28cjdkuj","polished-sweep-14","0.37531401125752195","0.4489795918367347"
"0.4","168","28cjdkuj","polished-sweep-14","0.4241958077819574","0.5357142857142857"
"0.45","168","28cjdkuj","polished-sweep-14","0.47310411734949975","0.6785714285714286"
"0.5","116","28cjdkuj","polished-sweep-14","0.5266334763888655","0.6724137931034483"
"0.55","97","28cjdkuj","polished-sweep-14","0.5736459094224516","0.7319587628865979"
"0.6000000000000001","79","28cjdkuj","polished-sweep-14","0.6238875177842153","0.7088607594936709"
"0.65","52","28cjdkuj","polished-sweep-14","0.6730406204095254","0.8846153846153846"
"0.7000000000000001","34","28cjdkuj","polished-sweep-14","0.7227402522283441","0.8823529411764706"
"0.75","25","28cjdkuj","polished-sweep-14","0.7717427086830139","0.92"
"0.8","13","28cjdkuj","polished-sweep-14","0.826222470173469","0.9230769230769231"
"0.8500000000000001","4","28cjdkuj","polished-sweep-14","0.867065042257309","1"
"0.9","0","28cjdkuj","polished-sweep-14","NaN","NaN"
"0.9500000000000001","0","28cjdkuj","polished-sweep-14","NaN","NaN"
"0","156","esg825sm","20250525-165710-unequaled-lark-148","0.01575928426031262","0.1987179487179487"
"0.05","45","esg825sm","20250525-165710-unequaled-lark-148","0.07190680801868439","0.4"
"0.1","46","esg825sm","20250525-165710-unequaled-lark-148","0.12374361231923103","0.391304347826087"
"0.15000000000000002","30","esg825sm","20250525-165710-unequaled-lark-148","0.17503230671087902","0.36666666666666664"
"0.2","23","esg825sm","20250525-165710-unequaled-lark-148","0.22356330894905588","0.7391304347826086"
"0.25","33","esg825sm","20250525-165710-unequaled-lark-148","0.2757467808145465","0.5454545454545454"
"0.30000000000000004","18","esg825sm","20250525-165710-unequaled-lark-148","0.3269764946566688","0.7222222222222222"
"0.35000000000000003","16","esg825sm","20250525-165710-unequaled-lark-148","0.3760996889322996","0.875"
"0.4","17","esg825sm","20250525-165710-unequaled-lark-148","0.4227808556135963","0.7058823529411765"
"0.45","10","esg825sm","20250525-165710-unequaled-lark-148","0.47443734109401703","0.5"
"0.5","15","esg825sm","20250525-165710-unequaled-lark-148","0.5211344361305237","0.8666666666666667"
"0.55","20","esg825sm","20250525-165710-unequaled-lark-148","0.5718756198883057","0.65"
"0.6000000000000001","10","esg825sm","20250525-165710-unequaled-lark-148","0.6217540860176086","0.7"
"0.65","12","esg825sm","20250525-165710-unequaled-lark-148","0.6782623678445816","0.9166666666666666"
"0.7000000000000001","9","esg825sm","20250525-165710-unequaled-lark-148","0.730504552523295","1"
"0.75","19","esg825sm","20250525-165710-unequaled-lark-148","0.7786468361553393","0.7894736842105263"
"0.8","6","esg825sm","20250525-165710-unequaled-lark-148","0.8284149070580801","0.8333333333333334"
"0.8500000000000001","12","esg825sm","20250525-165710-unequaled-lark-148","0.8759109526872635","0.9166666666666666"
"0.9","8","esg825sm","20250525-165710-unequaled-lark-148","0.9308325126767159","1"
"0.9500000000000001","7","esg825sm","20250525-165710-unequaled-lark-148","0.9599098563194275","1"
"0","257","v10tjhgi","20250525-165417-intelligent-colt-835","0.007142053479801937","0.3229571984435798"
"0.05","28","v10tjhgi","20250525-165417-intelligent-colt-835","0.07369396755737918","0.4642857142857143"
"0.1","17","v10tjhgi","20250525-165417-intelligent-colt-835","0.1191513906506931","0.5294117647058824"
"0.15000000000000002","15","v10tjhgi","20250525-165417-intelligent-colt-835","0.1815664976835251","0.7333333333333333"
"0.2","9","v10tjhgi","20250525-165417-intelligent-colt-835","0.2211345632870992","0.7777777777777778"
"0.25","7","v10tjhgi","20250525-165417-intelligent-colt-835","0.2817688414028713","0.7142857142857143"
"0.30000000000000004","2","v10tjhgi","20250525-165417-intelligent-colt-835","0.3154771625995636","0"
"0.35000000000000003","12","v10tjhgi","20250525-165417-intelligent-colt-835","0.3796997641523679","0.5"
"0.4","5","v10tjhgi","20250525-165417-intelligent-colt-835","0.4363244235515594","0.8"
"0.45","6","v10tjhgi","20250525-165417-intelligent-colt-835","0.47196416556835175","0.5"
"0.5","13","v10tjhgi","20250525-165417-intelligent-colt-835","0.521638287947728","0.8461538461538461"
"0.55","5","v10tjhgi","20250525-165417-intelligent-colt-835","0.5770385503768921","0.4"
"0.6000000000000001","7","v10tjhgi","20250525-165417-intelligent-colt-835","0.6277613980429513","0.7142857142857143"
"0.65","7","v10tjhgi","20250525-165417-intelligent-colt-835","0.6750626904623849","0.5714285714285714"
"0.7000000000000001","10","v10tjhgi","20250525-165417-intelligent-colt-835","0.7254509329795837","0.8"
"0.75","8","v10tjhgi","20250525-165417-intelligent-colt-835","0.7699102088809013","0.75"
"0.8","11","v10tjhgi","20250525-165417-intelligent-colt-835","0.8275912566618486","0.8181818181818182"
"0.8500000000000001","13","v10tjhgi","20250525-165417-intelligent-colt-835","0.8703272938728333","0.6153846153846154"
"0.9","23","v10tjhgi","20250525-165417-intelligent-colt-835","0.9205057543257008","0.6521739130434783"
"0.9500000000000001","57","v10tjhgi","20250525-165417-intelligent-colt-835","0.9886224081641749","0.8245614035087719"
"0","1055","sjzym1jz","stellar-cherry-61","0.004436993378875509","0.33649289099526064"
"0.05","66","sjzym1jz","stellar-cherry-61","0.07183600736386848","0.5606060606060606"
"0.1","31","sjzym1jz","stellar-cherry-61","0.11926397969645838","0.6774193548387096"
"0.15000000000000002","17","sjzym1jz","stellar-cherry-61","0.18288820456056035","0.6470588235294118"
"0.2","21","sjzym1jz","stellar-cherry-61","0.22530198452018557","0.6666666666666666"
"0.25","17","sjzym1jz","stellar-cherry-61","0.2800537400385913","0.5294117647058824"
"0.30000000000000004","12","sjzym1jz","stellar-cherry-61","0.3257957696914673","0.5833333333333334"
"0.35000000000000003","17","sjzym1jz","stellar-cherry-61","0.3775123673326829","0.5294117647058824"
"0.4","7","sjzym1jz","stellar-cherry-61","0.41999085886137827","0.8571428571428571"
"0.45","9","sjzym1jz","stellar-cherry-61","0.48055118322372437","0.4444444444444444"
"0.5","12","sjzym1jz","stellar-cherry-61","0.5231377333402634","0.5833333333333334"
"0.55","20","sjzym1jz","stellar-cherry-61","0.5732419699430465","0.65"
"0.6000000000000001","5","sjzym1jz","stellar-cherry-61","0.6252044320106507","0.6"
"0.65","16","sjzym1jz","stellar-cherry-61","0.6660098657011986","0.5"
"0.7000000000000001","11","sjzym1jz","stellar-cherry-61","0.7208459052172574","0.36363636363636365"
"0.75","21","sjzym1jz","stellar-cherry-61","0.7739672093164354","0.42857142857142855"
"0.8","13","sjzym1jz","stellar-cherry-61","0.8319321504006019","0.6923076923076923"
"0.8500000000000001","25","sjzym1jz","stellar-cherry-61","0.8791745734214783","0.72"
"0.9","38","sjzym1jz","stellar-cherry-61","0.9291417316386574","0.7105263157894737"
"0.9500000000000001","439","sjzym1jz","stellar-cherry-61","0.9949060352625227","0.8086560364464692"
"0","724","nfe8v06m","morning-violet-3","0.003884803745760486","0.26933701657458564"
"0.05","53","nfe8v06m","morning-violet-3","0.07541192203478993","0.4528301886792453"
"0.1","40","nfe8v06m","morning-violet-3","0.1204803192988038","0.35"
"0.15000000000000002","30","nfe8v06m","morning-violet-3","0.17462470879157385","0.43333333333333335"
"0.2","28","nfe8v06m","morning-violet-3","0.22541724305067742","0.6785714285714286"
"0.25","29","nfe8v06m","morning-violet-3","0.27512361880006464","0.4827586206896552"
"0.30000000000000004","26","nfe8v06m","morning-violet-3","0.3254523632618097","0.46153846153846156"
"0.35000000000000003","31","nfe8v06m","morning-violet-3","0.3706351326357934","0.5483870967741935"
"0.4","21","nfe8v06m","morning-violet-3","0.41765426312174114","0.2857142857142857"
"0.45","24","nfe8v06m","morning-violet-3","0.47701743617653847","0.4583333333333333"
"0.5","18","nfe8v06m","morning-violet-3","0.5220018559032016","0.4444444444444444"
"0.55","16","nfe8v06m","morning-violet-3","0.5749623104929924","0.75"
"0.6000000000000001","16","nfe8v06m","morning-violet-3","0.6260805875062943","0.625"
"0.65","23","nfe8v06m","morning-violet-3","0.6820143202076787","0.6521739130434783"
"0.7000000000000001","24","nfe8v06m","morning-violet-3","0.7227071026961008","0.625"
"0.75","15","nfe8v06m","morning-violet-3","0.7754999717076619","0.4666666666666667"
"0.8","17","nfe8v06m","morning-violet-3","0.8279446118018207","0.6470588235294118"
"0.8500000000000001","27","nfe8v06m","morning-violet-3","0.8750903849248532","0.5185185185185185"
"0.9","42","nfe8v06m","morning-violet-3","0.9264413231895083","0.5476190476190477"
"0.9500000000000001","648","nfe8v06m","morning-violet-3","0.9950571942292614","0.75"
